
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:A8:1D:1B:52:BD, 2025-02-04 14:49:06, 2025-02-04 14:49:07,  1, 135, WPA2, CCMP, PSK, -79,        4,        0,   0.  0.  0.  0,   6, Office, 
24:CF:24:53:A3:C6, 2025-02-04 14:49:06, 2025-02-04 14:49:06,  1, 130, WPA2, CCMP TKIP, PSK, -87,        2,        0,   0.  0.  0.  0,   8, Bulochka, 
04:5E:A4:D4:E3:41, 2025-02-04 14:49:06, 2025-02-04 14:49:06,  1, 270, WPA2, CCMP TKIP, PSK, -88,        5,        0,   0.  0.  0.  0,   6, qKmgts, 
38:D5:47:81:5D:BC, 2025-02-04 14:49:06, 2025-02-04 14:49:06,  1, 130, WPA2, CCMP, PSK, -93,        2,        0,   0.  0.  0.  0,   6, vvi007, 
D8:32:14:13:30:51, 2025-02-04 14:49:06, 2025-02-04 14:49:09,  6, 130, WPA2, CCMP, PSK, -93,        2,        0,   0.  0.  0.  0,   8, Onlime78, 
58:F8:5C:5A:0B:B6, 2025-02-04 14:49:07, 2025-02-04 14:49:07,  2, 130, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,  13, MTS_GPON_1550, 
08:AA:89:73:1D:63, 2025-02-04 14:49:07, 2025-02-04 14:49:07,  3, 130, WPA2, CCMP, PSK, -73,        6,        0,   0.  0.  0.  0,  12, RT-WiFi-1D63, 
08:60:6E:D2:9C:E8, 2025-02-04 14:49:07, 2025-02-04 14:49:07,  2,  54, WPA2, CCMP TKIP, PSK, -82,        2,        0,   0.  0.  0.  0,   8, elevator, 
B4:E5:4C:1A:6F:99, 2025-02-04 14:49:07, 2025-02-04 14:49:09,  6, 270, WPA2, CCMP TKIP, PSK, -90,        3,        0,   0.  0.  0.  0,  12, RT-WiFi-6F98, 
D4:BF:7F:0F:DE:4D, 2025-02-04 14:49:07, 2025-02-04 14:49:07,  2, 135, WPA2, CCMP TKIP, PSK, -87,        1,        0,   0.  0.  0.  0,   6, onlime, 
C2:25:E9:FF:16:66, 2025-02-04 14:49:07, 2025-02-04 14:49:08,  4, 270, OPN, ,   , -84,        3,        2,   0.  0.  0.  0,  14, ТриГада, 
88:A6:C6:99:7F:75, 2025-02-04 14:49:08, 2025-02-04 14:49:08,  9, 270, WPA2, CCMP TKIP, PSK, -91,        1,        0,   0.  0.  0.  0,  10, RT-WiFi_20, 
54:C2:50:D4:92:21, 2025-02-04 14:49:08, 2025-02-04 14:49:08,  9, 130, WPA2, CCMP, PSK, -94,        1,        0,   0.  0.  0.  0,  15, MTS_GPON_d49220, 
C0:25:E9:EF:16:66, 2025-02-04 14:49:08, 2025-02-04 14:49:08,  4, 270, WPA2, CCMP, PSK, -86,        4,        0,   0.  0.  0.  0,  14, ТриГаДа, 
EA:6B:AB:80:EB:4F, 2025-02-04 14:49:08, 2025-02-04 14:49:09, 11, 360, WPA2, CCMP, PSK, -36,        4,        0,   0.  0.  0.  0,   4, nIkI, 
48:E7:29:4B:97:88, 2025-02-04 14:49:08, 2025-02-04 14:49:09,  6,  48, OPN, ,   , -75,        3,        0,   0.  0.  0.  0,  23, Wi-Fi Convection Heater, 
10:0D:7F:50:56:76, 2025-02-04 14:49:09, 2025-02-04 14:49:09, 11, 270, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,   9, NETGEAR30, 
E4:CA:12:89:11:40, 2025-02-04 14:49:09, 2025-02-04 14:49:09, 11, 130, WPA2, CCMP, PSK, -89,        1,        0,   0.  0.  0.  0,  14, MGTS_GPON_F224, 
